,Document No.,Document Title
0,,CONSTRUCTION STANDARDS STC
1,,REACTOR 04
2,079254C-0000-STC-0490-000,STANDARD CONSTRUCTION DRAWINGS FOR PRESSURE EQUIPMENT
3,,PIPING 13
4,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION
5,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION
6,079254C-0000-STC-1390-001,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS
7,079254C-0000-STC-1390-001,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS
8,079254C-0000-STC-1390-002,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS"
9,079254C-0000-STC-1390-002,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS"
10,,UNDERGROUND 14
11,079254C-0000-STC-1490-001,"CIVIL AND STRUCTURAL
UNDERGROUND SYSTEMS, SITE
FINISHING & MISCELLANEOUS
CONSTRUCTION STANDARDS"
12,079254C-0000-STC-1490-001,"CIVIL AND STRUCTURAL
UNDERGROUND SYSTEMS, SITE
FINISHING & MISCELLANEOUS
CONSTRUCTION STANDARDS"
13,,ELECTERICAL 16
14,079254C-0000-STC-1691-001,EARTHING AND LIGHTING SYSTEM TYPICAL INSTALLATIONS STANDARDS
15,079254C-0000-STC-1691-001,EARTHING AND LIGHTING SYSTEM TYPICAL INSTALLATIONS STANDARDS
16,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS
17,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS
18,079254C-0000-STC-1693-001,LIGHTING SYSTEM TYPICAL INSTALLATION STANDARDS
19,079254C-0000-STC-1693-001,LIGHTING SYSTEM TYPICAL INSTALLATION STANDARDS
20,079254C-0000-STC-1696-001,"CABLE TRAYS SYSTEM - TYPICAL
INSTALLATION STANDARDS"
21,,CIVIL 17
22,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)"
23,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)"
24,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)"
25,,STEEL STRUCTURE 18
26,079254C-0000-STC-1890-000,"CIVIL AND STRUCTURAL STEEL STRUCTURE - CONSTRUCTION STANDARDS 
(EX. DOC. 079254C-0000-STD-1880-00)"
27,079254C-0000-STC-1890-000,"CIVIL AND STRUCTURAL STEEL STRUCTURE - CONSTRUCTION
STANDARDS (EX. DOC. 079254C-0000-STD-1880-00)"
28,079254C-0000-STC-1890-080,STANDARD CONSTRUCTION DRAWINGS FOR PRESSURE EQUIPMENT LADDERS AND PLATFORMS
29,,CALCULATION NOTE CN
30,,Temporary Job Site Facilities (TCF) 00
31,079254C-0000-CN-0000-001,DENSITY DIRECT WORKFORCE CALCULATION
32,,Temporary Job Site Facilities (TCF) 82
33,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY"
34,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY"
35,,DESIGN STANDARDS STD
36,,PIPING 13
37,079254C-0000-STD-1380-001,"DESIGN SPECIFICATION FOR PIPING DESIGN- II -
STANDARD DESIGN DRAWINGS"
38,079254C-0000-STD-1380-001,"DESIGN SPECIFICATION FOR PIPING DESIGN- II -
STANDARD DESIGN DRAWINGS"
