index,category,Document No.,Document Title
1,STC,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION
2,STC,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION
3,STC,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS
4,STC,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS
5,CN,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY"
6,CN,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY"
7,DW,079254C-0000-DW-1360-000,"PIPING SPECIAL SUPPORTSCOLLECTION FOR STEAM AND
CONDENSATE MANIFOLD"
8,DW,079254C-0000-DW-1360-000,"PIPING SPECIAL SUPPORTSCOLLECTION FOR STEAM AND
CONDENSATE MANIFOLD"
9,DW,079254C-0000-DW-1360-001-01,SPECIAL PIPING SUPPORT S-0000-001
10,DW,079254C-0000-DW-1360-001-02,SPECIAL PIPING SUPPORT S-0000-001
11,DW,079254C-0000-DW-1360-001-03,SPECIAL PIPING SUPPORT S-0000-001
12,DW,079254C-0000-DW-1360-001-01,SPECIAL PIPING SUPPORT S-0000-002
13,DW,079254C-0000-DW-1360-001-02,SPECIAL PIPING SUPPORT S-0000-002
14,DW,079254C-0000-DW-1360-003,CORRECTIVE ACTIONS TO AVOID CLASH BETWEEN ROD OF THE DIAGONAL PS-1 SPRING SUPPORTS AND THE SUPPORTING BEAMS CONDENSATE MANIFOLD
15,DW,079254C-0000-DW-1454-004-04,"CHANNELS CLOSED DRAIN - SUPPORT PLAN AND DETAILS -
UNIT 0000 - AREA 0000U01 -UG AREA - 0000U01-01 -
CONCEPTUAL LAYOUT"
16,DW,079254C-0000-DW-1454-004-04,"CHANNELS CLOSED DRAIN -SUPPORT PLAN AND DETAILS -
UNIT 0000 - AREA 0000U01 -UG AREA - 0000U01-01 -
CONCEPTUAL LAYOUT"
17,DW,079254C-0000-DW-1576-007,INSTRUMENT SUPPORTS - TYPICAL MOUNTING DETAILS
18,DW,079254C-0000-DW-1576-007,INSTRUMENT SUPPORTS - TYPICAL MOUNTING DETAILS
19,DW,079254C-0000-DW-1576-007,INSTRUMENT SUPPORTS - TYPICAL MOUNTING DETAILS
20,DW,079254C-0000-DW-1576-007,INSTRUMENT SUPPORTS - TYPICAL MOUNTING DETAILS
21,DW,079254C-0000-DW-6810-001-01,"EQUIPMENT INTERNAL
TRANSPORTATION PLAN -
PRELIMINARY STUDY"
22,DW,079254C-0000-DW-8260-001-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSES & CAMPS GENERAL LAYOUT"
23,DW,079254C-0000-DW-8260-002-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSE AND CAMP GENERAL LAYOUT"
24,DW,079254C-0000-DW-8260-002-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSE AND CAMP GENERAL LAYOUT"
25,DW,079254C-0000-DW-8260-003-01,TEMPORARY CONSTRUCTION FACILITIES COMMON EXTERNAL WORKS &TIE - INS POINTS
26,ML,079254C-0000-ML-0603,TRANSPORTATION PLAN
27,ML,079254C-0000-ML-0603,TRANSPORTATION PLAN
28,ML,079254C-0000-ML-0603,TRANSPORTATION PLAN
29,ML,079254C-0000-ML-0603,TRANSPORTATION PLAN
30,JSC,079254C-0000-JSC-1393-016,"JOB SPECIFICATION FOR
DEBLOCKING AND/OR ADJUSTMENT
OF PIPING & EQUIPMENT SPECIAL
SUPPORTS (EX 079254C-0000-MS-
1393-016)"
31,JSD,079254C-0000-JSD-1300-009,"JSD FOR LOADS ON PIPERACKS
STRUCTURES - ISOLATED SUPPORTS
- PIPING SUPPORTS"
32,JSD,079254C-0000-JSD-1300-010,"JSD FOR AUXILIARY PIPING
SUPPORTS"
33,JSD,079254C-0000-JSD-1300-010,"JSD FOR AUXILIARY PIPING
SUPPORTS"
34,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
35,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
36,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
37,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
38,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
39,JSD,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
40,JSS,079254C-0000-JSS-1386-001,"GENERAL SUPPLY RULES FOR
DYNAMIC PIPING SUPPORTS"
41,JSS,079254C-0000-JSS-1621-001,"GENERAL SUPPLY RULES FOR
ELECTRICAL POWER AND CONTROL
CABLES"
42,JSS,079254C-0000-JSS-1621-001,"GENERAL SUPPLY RULES FOR
ELECTRICAL POWER AND CONTROL
CABLES"
43,JSS,079254C-0000-JSS-1641-001,GENERAL SUPPLY RULES FOR THREE PHASE OIL IMMERSED TYPE POWER TRANSFORMERS (EX JSD 1641-001)
44,JSS,079254C-0000-JSS-6300-004,JOB SPECIFICATION FOR SUPPLY POSITIVE ALLOY MATERIAL IDENTIFICATION OF EQUIPMENT AND PIPING
45,NM,079254C-0000-NM-0051-001,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH OWNER"
46,NM,079254C-0000-NM-0051-001,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH OWNER"
47,NM,079254C-0000-NM-0051-002,"CIVIL INTERFACE POINT REGISTER
WITH OWNERâ€™S UNITS"
48,NM,079254C-0000-NM-0051-002,"CIVIL INTERFACE POINT REGISTER
WITH OWNERâ€™S UNITS"
49,NM,079254C-0000-NM-0051-003,"ELECTRICAL INTERFACE POINT
REGISTER WITH OWNER'S UNITS"
50,NM,079254C-0000-NM-0051-004,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH OWNER'S UNITS"
51,NM,079254C-0000-NM-0051-004,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH OWNER'S UNITS"
52,NM,079254C-0000-NM-0051-005,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH OWNERâ€™S
UNITS"
53,NM,079254C-0000-NM-0051-005,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH OWNERâ€™S
UNITS"
54,NM,079254C-0000-NM-0051-006,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH LOCAL
SUBCONTRACTOR"
55,NM,079254C-0000-NM-0051-007,"CIVIL INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
56,NM,079254C-0000-NM-0051-008,"ELECTRICAL INTERFACE POINT
REGISTER WITH LOCAL
SUBCONTRACTOR'S UNITS"
57,NM,079254C-0000-NM-0051-008,"ELECTRICAL INTERFACE POINT
REGISTER WITH LOCAL
SUBCONTRACTOR'S UNITS"
58,NM,079254C-0000-NM-0051-009,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
59,NM,079254C-0000-NM-0051-009,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
60,NM,079254C-0000-NM-0051-010,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH LOCAL
CONTRACTOR UNITS"
61,NM,079254C-0000-NM-0051-010,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH LOCAL
CONTRACTOR UNITS"
